id,name,brand,price,currency,has_discount,promocode,discount_value,price_after_sale,discount_amount,url,img,scraped_at,country
503548,Caries Protection,Elmex,5.0,gbp/£,True,teeth,15,4.25,0.75,/elmex/caries-protection-anti-decay-toothpaste-with-fluoride/,/elmex/4007965560002_11-o__140311.jpg,2024-05-08 11:05:49,uk
11616317,Intensive Stain Removal,BlanX,5.2,gbp/£,True,teeth,15,4.42,0.78,/blanx/intensive-stain-removal-whitening-toothpaste/,/blanx/8006320054763_01-o__180221.jpg,2024-05-08 11:05:49,uk
16157771,Healthy Gums,MEDIBLANC,11.7,gbp/£,True,20promo,20,9.36,2.34,/mediblanc/healthy-gums-gum-protection-toothpaste/,/mediblanc/8059300530559-o__221027.jpg,2024-05-08 11:05:49,uk
16212393,Total Protective Repair,Biorepair,2.4,gbp/£,False,,0,2.4,0.0,/biorepair/total-protective-repair-reinforcing-toothpaste/,/biorepair/8017331069691_01-o__230906.jpg,2024-05-08 11:05:49,uk
422826,Whitening,Parodontax,5.0,gbp/£,True,teeth,15,4.25,0.75,/parodontax/whitening-whitening-toothpaste-for-bleeding-gums/,/parodontax/5999518582175_01-o__140428.jpg,2024-05-08 11:05:49,uk
558590,Gum Protection,Meridol,5.6,gbp/£,False,,0,5.6,0.0,/meridol/meridol-anti-bleeding-toothpaste/,/meridol/4007965560804_01-o__230807.jpg,2024-05-08 11:05:49,uk
16003593,Perio Plus+ Support 0.09 CHX,Curaprox,7.3,gbp/£,True,teeth,15,6.2,1.1,/curaprox/perio-plus-support-009-chx-toothpaste-against-gum-bleeding-and-periodontal-disease/,/curaprox/7612412427288_01-o__191204.jpg,2024-05-08 11:05:49,uk
16068251,Whitening,BlanX,3.4,gbp/£,True,teeth,15,2.89,0.51,/blanx/whitening-whitening-toothpaste/,/blanx/8017331051474_01-o__210205.jpg,2024-05-08 11:05:49,uk
495166,Sensitive,Elmex,4.5,gbp/£,True,teeth,15,3.82,0.68,/elmex/sensitive-paste-for-sensitive-teeth/,/elmex/7610108059249_11-o__150518.jpg,2024-05-08 11:05:49,uk
16179225,Whitening Herbal,MEDIBLANC,2.6,gbp/£,False,,0,2.6,0.0,/mediblanc/whitening-herbal-herbal-toothpaste-with-whitening-effect/,/mediblanc/8059300538166-o__221027.jpg,2024-05-08 11:05:49,uk
16009628,Gum & Enamel Repair Fresh White,Oral B,2.9,gbp/£,True,teeth,15,2.46,0.44,/oral-b/gum-enamel-repair-extra-fresh-toothpaste-for-fresh-breath/,/oral-b/8001090794413_01-o__240304.jpg,2024-05-08 11:05:49,uk
16161766,Whitening,MEDIBLANC,6.8,gbp/£,True,20promo,20,5.44,1.36,/mediblanc/whitening-toothpaste-with-whitening-effect/,/mediblanc/3760275382399-o__221027.jpg,2024-05-08 11:05:49,uk
16068223,Fast Sensitive Repair,Biorepair,3.6,gbp/£,True,teeth,15,3.06,0.54,/biorepair/fast-sensitive-repair-toothpaste/,/biorepair/8017331048443_01-o__220811.jpg,2024-05-08 11:05:49,uk
16052011,Caries Protection Kids,Elmex,6.6,gbp/£,False,,0,6.6,0.0,/elmex/caries-protection-kids-toothpaste-for-children/,/elmex/8590232000401_01-o__220203.jpg,2024-05-08 11:05:49,uk
523108,Whitening,Opalescence,3.5,gbp/£,True,teeth,15,2.98,0.52,/opalescence/original-formula-whitening-toothpaste-with-fluoride/,/opalescence/883205029492_01-o__160127.jpg,2024-05-08 11:05:49,uk
617752,Junior 6-12 Years,Elmex,6.6,gbp/£,False,,0,6.6,0.0,/elmex/junior-6-12-years-toothpaste-for-children-73188/,/elmex/8714789973142_01-o__230215.jpg,2024-05-08 11:05:49,uk
15965109,Sensitive Whitening,Elmex,8.3,gbp/£,True,teeth,15,7.06,1.24,/elmex/sensitive-whitening-toothpaste-for-naturally-white-teeth-73519/,/elmex/8590232000210_11-o__190716.jpg,2024-05-08 11:05:49,uk
15672077,Complete Protection Extra Fresh,Parodontax,5.9,gbp/£,True,teeth,15,5.02,0.88,/parodontax/complete-protection-extra-fresh-fluoride-toothpaste-for-healthy-teeth-and-gums/,/parodontax/5054563040596_01-o__180504.jpg,2024-05-08 11:05:49,uk
408346,Kids 0-6,Biorepair,2.6,gbp/£,False,,0,2.6,0.0,/biorepair/junior-toothpaste-for-kids/,/biorepair/8017331035634_01-o__130828.jpg,2024-05-08 11:05:49,uk
16156107,Natural Toothpaste White Fluoride,BEN&ANNA,6.4,gbp/£,True,teeth,15,5.44,0.96,/benanna/natural-toothpaste-white-fluoride-whitening-toothpaste-with-fluoride/,/benanna/4260491220943_01.-o__221101.jpg,2024-05-08 11:05:49,uk
16088537,Teeth,NUK,5.9,gbp/£,True,20promo,20,4.72,1.18,/nuk/teeth-dental-care-setfor-kids/,/nuk/4008600215769_01__210818.jpg,2024-05-08 11:05:49,uk
658004,The Mints Jasmin,Marvis,3.0,gbp/£,True,teeth,15,2.55,0.45,/marvis/jasmin-mint-toothpaste/,/marvis/8004395111756_01-o__171120.jpg,2024-05-08 11:05:49,uk
499436,Classic,Parodontax,3.8,gbp/£,False,,0,3.8,0.0,/parodontax/classic-anti-bleeding-toothpaste-without-fluoride/,/parodontax/4047400392041_01-o__140428.jpg,2024-05-08 11:05:49,uk
16143787,Ewa Chodakowska Extra Strong Lemon & Mint,beBIO,3.4,gbp/£,True,teeth,15,2.89,0.51,/bebio/ewa-chodakowska-extra-strong-lemon-mint-natural-paste-for-teeth/,/bebio/5908233661362_01-o__220824.jpg,2024-05-08 11:05:49,uk
15716861,The Mints Aquatic,Marvis,3.9,gbp/£,True,teeth,15,3.32,0.58,/marvis/aquatic-mint-toothpaste/,/marvis/8004395111725_01-o__171120.jpg,2024-05-08 11:05:49,uk
408337,Pro White,Biorepair,4.0,gbp/£,False,,0,4.0,0.0,/biorepair/whitening-whitening-toothpaste/,/biorepair/brpwhiw_ktps45__130828.jpg,2024-05-08 11:05:49,uk
625033,Plus Total Protection,Biorepair,4.2,gbp/£,True,teeth,15,3.57,0.63,/biorepair/plus-protect-tooth-enamel-fortifying-toothpaste/,/biorepair/brpprow_ktps45_01__170616.jpg,2024-05-08 11:05:49,uk
539381,Fluoride,Parodontax,5.0,gbp/£,False,,0,5.0,0.0,/parodontax/fluoride-anti-bleeding-toothpaste/,/parodontax/4047400393048_01-o__221027.jpg,2024-05-08 11:05:49,uk
